Date,Centre_Name,Commodity_Name,Price
27-01-05,T.PURAM,Sunflower Oil (Packed),NA
27-01-05,CHENNAI,Sunflower Oil (Packed),NA
27-01-05,HYDERABAD,Sunflower Oil (Packed),NA
28-01-05,DELHI,Sunflower Oil (Packed),NA
28-01-05,SHIMLA,Sunflower Oil (Packed),NA
28-01-05,LUCKNOW,Sunflower Oil (Packed),NA
28-01-05,AHMEDABAD,Sunflower Oil (Packed),NA
28-01-05,BHOPAL,Sunflower Oil (Packed),NA
28-01-05,MUMBAI,Sunflower Oil (Packed),NA
28-01-05,JAIPUR,Sunflower Oil (Packed),NA
28-01-05,PATNA,Sunflower Oil (Packed),NA
28-01-05,BHUBANESHWAR,Sunflower Oil (Packed),NA
28-01-05,KOLKATA,Sunflower Oil (Packed),NA
28-01-05,GUWAHATI,Sunflower Oil (Packed),NA
28-01-05,SHILLONG,Sunflower Oil (Packed),NA
28-01-05,AIZWAL,Sunflower Oil (Packed),NA
28-01-05,AGARTALA,Sunflower Oil (Packed),NA
28-01-05,BENGALURU,Sunflower Oil (Packed),NA
28-01-05,T.PURAM,Sunflower Oil (Packed),NA
28-01-05,CHENNAI,Sunflower Oil (Packed),NA
28-01-05,HYDERABAD,Sunflower Oil (Packed),NA
31-01-05,DELHI,Sunflower Oil (Packed),NA
31-01-05,SHIMLA,Sunflower Oil (Packed),NA
31-01-05,LUCKNOW,Sunflower Oil (Packed),NA
31-01-05,AHMEDABAD,Sunflower Oil (Packed),NA
31-01-05,BHOPAL,Sunflower Oil (Packed),NA
31-01-05,MUMBAI,Sunflower Oil (Packed),NA
31-01-05,JAIPUR,Sunflower Oil (Packed),NA
31-01-05,PATNA,Sunflower Oil (Packed),NA
31-01-05,BHUBANESHWAR,Sunflower Oil (Packed),NA
31-01-05,KOLKATA,Sunflower Oil (Packed),NA
31-01-05,GUWAHATI,Sunflower Oil (Packed),NA
31-01-05,SHILLONG,Sunflower Oil (Packed),NA
31-01-05,AIZWAL,Sunflower Oil (Packed),NA
31-01-05,AGARTALA,Sunflower Oil (Packed),NA
31-01-05,BENGALURU,Sunflower Oil (Packed),NA
31-01-05,T.PURAM,Sunflower Oil (Packed),NA
31-01-05,CHENNAI,Sunflower Oil (Packed),NA
31-01-05,HYDERABAD,Sunflower Oil (Packed),NA
01-02-05,DELHI,Sunflower Oil (Packed),NA
01-02-05,SHIMLA,Sunflower Oil (Packed),NA
01-02-05,LUCKNOW,Sunflower Oil (Packed),NA
01-02-05,AHMEDABAD,Sunflower Oil (Packed),NA
01-02-05,BHOPAL,Sunflower Oil (Packed),NA
01-02-05,MUMBAI,Sunflower Oil (Packed),NA
01-02-05,JAIPUR,Sunflower Oil (Packed),NA
01-02-05,PATNA,Sunflower Oil (Packed),NA
01-02-05,BHUBANESHWAR,Sunflower Oil (Packed),NA
01-02-05,KOLKATA,Sunflower Oil (Packed),NA
01-02-05,GUWAHATI,Sunflower Oil (Packed),NA
01-02-05,SHILLONG,Sunflower Oil (Packed),NA
01-02-05,AIZWAL,Sunflower Oil (Packed),NA
01-02-05,AGARTALA,Sunflower Oil (Packed),NA
01-02-05,BENGALURU,Sunflower Oil (Packed),NA
01-02-05,T.PURAM,Sunflower Oil (Packed),NA
01-02-05,CHENNAI,Sunflower Oil (Packed),NA
01-02-05,HYDERABAD,Sunflower Oil (Packed),NA
02-02-05,DELHI,Sunflower Oil (Packed),NA
02-02-05,SHIMLA,Sunflower Oil (Packed),NA
02-02-05,LUCKNOW,Sunflower Oil (Packed),NA
02-02-05,AHMEDABAD,Sunflower Oil (Packed),NA
02-02-05,BHOPAL,Sunflower Oil (Packed),NA
02-02-05,MUMBAI,Sunflower Oil (Packed),NA
02-02-05,JAIPUR,Sunflower Oil (Packed),NA
02-02-05,PATNA,Sunflower Oil (Packed),NA
02-02-05,BHUBANESHWAR,Sunflower Oil (Packed),NA
02-02-05,KOLKATA,Sunflower Oil (Packed),NA
02-02-05,GUWAHATI,Sunflower Oil (Packed),NA
02-02-05,SHILLONG,Sunflower Oil (Packed),NA
02-02-05,AIZWAL,Sunflower Oil (Packed),NA
02-02-05,AGARTALA,Sunflower Oil (Packed),NA
02-02-05,BENGALURU,Sunflower Oil (Packed),NA
02-02-05,T.PURAM,Sunflower Oil (Packed),NA
02-02-05,CHENNAI,Sunflower Oil (Packed),NA
02-02-05,HYDERABAD,Sunflower Oil (Packed),NA
03-02-05,DELHI,Sunflower Oil (Packed),NA
03-02-05,SHIMLA,Sunflower Oil (Packed),NA
03-02-05,LUCKNOW,Sunflower Oil (Packed),NA
03-02-05,AHMEDABAD,Sunflower Oil (Packed),NA
03-02-05,BHOPAL,Sunflower Oil (Packed),NA
03-02-05,MUMBAI,Sunflower Oil (Packed),NA
03-02-05,JAIPUR,Sunflower Oil (Packed),NA
03-02-05,PATNA,Sunflower Oil (Packed),NA
03-02-05,BHUBANESHWAR,Sunflower Oil (Packed),NA
03-02-05,KOLKATA,Sunflower Oil (Packed),NA
03-02-05,GUWAHATI,Sunflower Oil (Packed),NA
03-02-05,SHILLONG,Sunflower Oil (Packed),NA
03-02-05,AIZWAL,Sunflower Oil (Packed),NA
03-02-05,AGARTALA,Sunflower Oil (Packed),NA
03-02-05,BENGALURU,Sunflower Oil (Packed),NA
03-02-05,T.PURAM,Sunflower Oil (Packed),NA
03-02-05,CHENNAI,Sunflower Oil (Packed),NA
03-02-05,HYDERABAD,Sunflower Oil (Packed),NA
04-02-05,DELHI,Sunflower Oil (Packed),NA
04-02-05,SHIMLA,Sunflower Oil (Packed),NA
04-02-05,LUCKNOW,Sunflower Oil (Packed),NA
04-02-05,AHMEDABAD,Sunflower Oil (Packed),NA
04-02-05,BHOPAL,Sunflower Oil (Packed),NA
04-02-05,MUMBAI,Sunflower Oil (Packed),NA
04-02-05,JAIPUR,Sunflower Oil (Packed),NA
04-02-05,PATNA,Sunflower Oil (Packed),NA
04-02-05,BHUBANESHWAR,Sunflower Oil (Packed),NA
04-02-05,KOLKATA,Sunflower Oil (Packed),NA
04-02-05,GUWAHATI,Sunflower Oil (Packed),NA
04-02-05,SHILLONG,Sunflower Oil (Packed),NA
04-02-05,AIZWAL,Sunflower Oil (Packed),NA
04-02-05,AGARTALA,Sunflower Oil (Packed),NA
04-02-05,BENGALURU,Sunflower Oil (Packed),NA
04-02-05,T.PURAM,Sunflower Oil (Packed),NA
04-02-05,CHENNAI,Sunflower Oil (Packed),NA
04-02-05,HYDERABAD,Sunflower Oil (Packed),NA
07-02-05,DELHI,Sunflower Oil (Packed),NA
07-02-05,SHIMLA,Sunflower Oil (Packed),NA
07-02-05,LUCKNOW,Sunflower Oil (Packed),NA
07-02-05,AHMEDABAD,Sunflower Oil (Packed),NA
07-02-05,BHOPAL,Sunflower Oil (Packed),NA
07-02-05,MUMBAI,Sunflower Oil (Packed),NA
07-02-05,JAIPUR,Sunflower Oil (Packed),NA
07-02-05,PATNA,Sunflower Oil (Packed),NA
07-02-05,BHUBANESHWAR,Sunflower Oil (Packed),NA
07-02-05,KOLKATA,Sunflower Oil (Packed),NA
07-02-05,GUWAHATI,Sunflower Oil (Packed),NA
07-02-05,SHILLONG,Sunflower Oil (Packed),NA
07-02-05,AIZWAL,Sunflower Oil (Packed),NA
